Date collected,Treatment,Bag #,Broodstock,Silo Number, Vol. for count (mL) ,Total Vol (mL),Count A LIVE,Count A DEAD,Count B LIVE,Count B DEAD,Count C LIVE,Count C DEAD,Total A,Total B,Total C, Mean Larvae / mL , # Larvae Collected , Volume needed for 800 larvae ,# Larvae actually stocked, Approx. larvae sampled , Larvae sample Number (in -80) , # Samples Preserved ,Notes
4/9/18,C2,19 or 21,23,C2-1,0.3,670,120,0,95,0,127,0,120,95,127,380,"254,600",2.11,,"252,200",82,,
4/9/18,D1,12 or 14,34,D1-1,0.2,840,165,0,158,0,158,0,165,158,158,802,"673,400",1,,"671,000",83,,
4/10/18,D1,12 or 14,34,NA,0.3,600,149,0,180,1,165,0,149,181,165,549,"329,333",1.46,,"326,933",84,1,
4/10/18,A1,1 or 15,36,NA,0.7,400,22,0,27,0,19,0,22,27,19,32,"12,952",24.71,,"10,552", n/a , n/a ,
4/10/18,C2,19 or 21,23,NA,0.4,530,114,0,125,0,105,0,114,125,105,287,"151,933",2.79,,"149,533",85,1,
4/10/18,C1,29 or 30,34,NA,0.3,745,129,0,119,0,140,0,129,119,140,431,"321,178",1.86,,"318,778",86,1,
4/10/18,D2,6 or 7,37,NA,0.1,860,100,0,104,0,109,1,100,104,110,"1,043","897,267",0.77,,"894,867",87,2,
4/10/18,C1,31 or 32,29,C1-5,0.15,825,102,0,130,0,102,0,102,130,102,742,"612,333",1.08,,"609,933",88,2,
4/10/18,B1,18 or 27,37,NA,0.5,400,45,2,46,1,36,3,47,47,39,85,"33,867",9.45,,"31,467",89,1,
4/10/18,B1,17 or 28,35,B1-6,0.1,850,75,0,93,0,82,0,75,93,82,833,"708,333",0.96,,"705,933",90,2,
4/10/18,A2,24 or 26,32,A2-4,0.3,650,134,0,91,1,93,0,134,92,93,353,"229,667",2.26,,"227,267",91,1,
4/11/18,D2,6 or 7,37,NA,0.5,500,69,0,93,0,71,0,69,93,71,155,"77,667",5.15,,"75,267",92,,
4/11/18,B2,9 or 10,40,NA,0.5,630,91,1,95,1,80,1,92,96,81,177,"111,720",4.51,,"109,320",93,,
4/11/18,B2,11 or 13,40,B2-2,0.5,600,140,1,121,0,118,0,141,121,118,253,"151,600",3.17,,"149,200",94,,
4/12/18,D1,12 or 14,34,NA,0.6,500,27,1,16,0,25,1,28,16,26,38,"18,889",21.18,,"16,489",95,,
4/12/18,B2,11 or 13,40,NA,0.1,940,89,0,113,0,93,0,89,113,93,983,"924,333",0.81,,"921,933",96,,
4/12/18,A2,24 or 26,32,NA,0.4,580,87,0,76,1,67,0,87,77,67,192,"111,167",4.17,,"108,767",97,,
4/12/18,B1,18 or 27,37,B1-5,0.3,790,75,0,83,0,81,0,75,83,81,266,"209,789",3.01,,"207,389",98,,
4/12/18,A1,1 or 15,36,A1-1,0.3,525,81,0,97,0,88,0,81,97,88,296,"155,167",2.71,,"152,767",99,,
4/13/18,C1,31 or 32,29,NA,0.2,850,101,0,110,0,93,0,101,110,93,507,"430,667",1.58,,"428,267",100,,
4/13/18,D2,6 or 7,37,NA,0.4,550,74,0,76,0,61,3,74,76,64,176,"96,708",4.55,,"94,308",101,,
4/13/18,D2,2 or 8,35,D2-3,0.4,560,106,0,122,0,114,0,106,122,114,285,"159,600",2.81,,"157,200",102,,
4/13/18,A2,23 or 25,36,A2-6,0.2,900,108,0,136,0,106,0,108,136,106,583,"525,000",1.37,,"522,600",103,,
4/13/18,D1,3 or 4,40,D1-6,0.3,750,91,0,111,0,104,0,91,111,104,340,"255,000",2.35,,"252,600",104,,
4/13/18,B2,11 or 13,40,NA,0.4,600,153,0,139,0,161,0,153,139,161,378,"226,500",2.12,,"224,100",105,,
4/13/18,A1,1 or 15,36,NA,0.4,640,156,0,185,0,172,0,156,185,172,428,"273,600",1.87,,"271,200",106,,
4/14/18,A1,1 or 15,34,NA,0.15,960,171,0,176,0,146,1,171,176,147,"1,096","1,051,733",0.73,,"1,049,333",107,,
4/14/18,D1,3 or 4,40,NA,0.6,500,144,8,117,19,113,13,152,136,126,208,"103,889",3.85,,"101,489",108,,
4/14/18,A1,5 or 16,35,A1-4,0.5,600,140,0,145,1,137,3,140,146,140,281,"168,800",2.84,,"166,400",109,,
4/14/18,A2,23 or 25,33,NA,0.6,550,97,0,97,0,959,0,97,97,959,641,"352,306",1.25,,"349,906",110,,
4/14/18,C1,29 or 30,31,C1-6,0.1,970,105,0,122,0,120,0,105,122,120,"1,157","1,121,967",0.69,,"1,119,567",111,,
4/14/18,C1,31 or 32,29,NA,0.3,600,123,0,115,0,135,0,123,115,135,414,"248,667",1.93,,"246,267",112,,
4/14/18,C2,19 or 21,23,C2-4,0.6,485,114,2,110,1,126,3,116,111,129,194,"94,306",4.11,,"91,906",113,,
4/15/18,B1,18 or 27,37,NA,0.25,825,144,18,143,16,153,24,162,159,177,587,"484,000",1.36,,"481,600",114,3,
4/15/18,D2,6 or 7,37,NA,0.4,610,113,0,124,2,124,2,113,126,126,301,"183,508",2.66,,"181,108",115,2,
4/15/18,A2,23 or 25,33,A2-5,0.25,880,171,0,193,1,185,1,171,194,186,732,"644,160",1.09,,"641,760",116,3,
4/15/18,D1,3 or 4,40,NA,0.15,940,143,0,141,0,121,0,143,141,121,900,"846,000",0.89,,"843,600",117,3,
4/15/18,B2,11 or 13,38,NA,0.4,700,126,0,116,0,116,0,126,116,116,298,"208,833",2.68,,"206,433",118,2,
4/15/18,C2,20 or 22,20,C2-5,0.25,890,182,1,171,1,166,1,183,172,167,692,"615,880",1.16,,"613,480",119,3,
4/16/18,C2,19 or 21,23,NA,0.4,665,118,3,104,2,113,3,121,106,116,279,"185,646",2.87,,"183,246",120,,
4/16/18,B2,9 or 10,40,B2-4,0.6,490,122,5,128,3,121,10,127,131,131,206,"100,994",3.88,,"98,594",121,,
4/16/18,C2,20 or 22,20,NA,0.8,475,22,0,26,0,12,0,22,26,12,25,"11,875",32,,"9,475",122,,
4/17/18,C1,29 or 30,31,NA,0.4,580,100,15,97,20,92,23,112,112,115,241,"24,083",3.32,,"21,683",123,,
4/17/18,A2,24 or 26,30,NA,0.7,490,97,10,92,10,127,6,102,137,133,150,"14,596",5.32,,"12,196",124,,
4/18/18,B2,9 or 10,40,NA,0.5,700,229,0,229,0,230,0,,,230,459,"321,067",1.74,,"318,667",125,,
4/18/18,D1,3 or 4,40,NA,0.5,480,35,0,40,0,28,0,,,28,69,"32,960",11.65,,"30,560",126,,
